"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-08-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 0 ~ 100000000000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"20","제주특별자치도 제주시 연동","290-5","0290","0005","엘리시아뷰","31.8600","202508","11","10,200","-","7","개인","개인","2012","연삼로 18","-","직거래","-","25.08.11"
"21","제주특별자치도 제주시 이도이동","888","0888","0000","주공1","47.3300","202508","11","49,500","-","3","개인","개인","1985","구남로7길 36","20250814","중개거래","제주 제주시","-"
"22","제주특별자치도 제주시 이도이동","888","0888","0000","주공1","47.3300","202508","11","49,500","-","3","개인","개인","1985","구남로7길 36","-","중개거래","제주 제주시","-"
"23","제주특별자치도 제주시 용담이동","619","0619","0000","용두암현대3","84.7500","202508","11","22,000","-","3","개인","개인","1992","성화로6길 46","20250811","중개거래","제주 제주시","-"
"24","제주특별자치도 제주시 용담이동","619","0619","0000","용두암현대3","84.7500","202508","11","22,000","-","3","개인","개인","1992","성화로6길 46","-","중개거래","제주 제주시","-"
"25","제주특별자치도 제주시 용담삼동","505","0505","0000","용두암현대1","67.3200","202508","11","27,500","101","3","개인","개인","1991","용담로5길 25","-","직거래","-","25.08.11"
"26","제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202508","11","45,800","-","7","개인","개인","2017","대청로 11","-","중개거래","제주 서귀포시","-"
"27","제주특별자치도 제주시 연동","290-5","0290","0005","엘리시아뷰","31.8600","202508","11","12,200","-","7","개인","개인","2012","연삼로 18","-","직거래","-","25.08.11"
"28","제주특별자치도 제주시 월평동","745","0745","0000","제주첨단꿈에그린2단지아파트","84.7938","202508","10","48,000","-","5","개인","개인","2017","첨단로동길 74","-","중개거래","제주 제주시","-"
"29","제주특별자치도 제주시 도남동","811","0811","0000","도남해모로리치힐아파트","59.8490","202508","09","59,600","-","9","개인","개인","2019","도남서길 14","-","중개거래","제주 제주시","-"
"30","제주특별자치도 제주시 노형동","754-4","0754","0004","부영2차","45.9078","202508","08","32,500","202","10","개인","개인","2001","과원로 11","-","중개거래","제주 제주시","25.08.12"
"31","제주특별자치도 제주시 일도이동","113-4","0113","0004","일도1차대림","77.0200","202508","08","32,800","-","5","개인","개인","1994","태성로 31","-","중개거래","제주 제주시","-"
"32","제주특별자치도 제주시 조천읍 함덕리","1213","1213","0000","노블하우스","77.5800","202508","07","21,000","-","7","개인","개인","2014","함덕16길 55","-","중개거래","제주 제주시","-"
"33","제주특별자치도 제주시 노형동","754","0754","0000","부영5차","84.9508","202508","07","61,800","-","2","개인","개인","2001","과원북2길 12","20250818","중개거래","제주 제주시","-"
"34","제주특별자치도 제주시 화북이동","116","0116","0000","제주삼화사랑으로부영2차","84.3616","202508","07","52,000","-","6","개인","개인","2013","화삼로 12","-","중개거래","제주 제주시","-"
"35","제주특별자치도 서귀포시 동홍동","1674","1674","0000","주공5차(동홍5차)","39.7900","202508","07","13,600","-","1","개인","개인","1999","중산간동로 8002","-","중개거래","제주 서귀포시","-"
"36","제주특별자치도 제주시 삼도일동","565-14","0565","0014","아이린2차","110.2100","202508","07","43,000","-","4","개인","개인","2013","서광로 204","-","중개거래","제주 제주시","-"
"37","제주특별자치도 서귀포시 중문동","1726","1726","0000","e편한세상중문","84.9875","202508","07","42,500","-","1","개인","개인","2021","일주서로731번길 10","-","중개거래","제주 서귀포시","-"
"38","제주특별자치도 서귀포시 서홍동","1598","1598","0000","아우룸숲","84.3700","202508","07","32,000","-","6","개인","개인","2016","홍중로 105","-","중개거래","제주 서귀포시","-"
"39","제주특별자치도 제주시 일도이동","406","0406","0000","서진태영아트빌","84.8502","202508","07","40,000","-","10","개인","개인","2004","고마로19길 19","-","직거래","-","-"
"40","제주특별자치도 제주시 외도일동","463-13","0463","0013","아모르102","49.9704","202508","07","16,800","-","5","개인","개인","2013","우령6길 15-5","-","중개거래","제주 제주시","-"
"41","제주특별자치도 제주시 화북이동","117","0117","0000","제주삼화엘에이치2단지","84.9800","202508","06","52,000","-","2","개인","개인","2014","화삼로 32","-","중개거래","제주 제주시","-"
"42","제주특별자치도 제주시 노형동","753-1","0753","0001","중흥에스클래스","59.9570","202508","06","51,000","-","4","개인","개인","2003","한라대학로 107","-","중개거래","제주 제주시","-"
"43","제주특별자치도 제주시 이호이동","1049","1049","0000","성지휴캐슬","82.5810","202508","06","31,700","-","9","개인","개인","2017","오광로 69","-","중개거래","제주 제주시","-"
"44","제주특별자치도 서귀포시 서귀동","309-32","0309","0032","기산베스트빌","84.2300","202508","05","24,000","-","5","개인","개인","2011","서문로41번길 15","-","중개거래","제주 서귀포시","25.08.13"
"45","제주특별자치도 제주시 노형동","906-4","0906","0004","공간에버빌","84.9700","202508","05","37,500","-","11","개인","개인","2004","원노형5길 4","-","직거래","-","25.08.05"
"46","제주특별자치도 서귀포시 중문동","1726","1726","0000","e편한세상중문","84.9875","202508","05","43,600","-","2","개인","법인","2021","일주서로731번길 10","-","중개거래","제주 서귀포시","-"
"47","제주특별자치도 서귀포시 강정동","195","0195","0000","서귀포강정지구3블럭중흥에스-클래스","84.9297","202508","05","53,800","-","9","개인","개인","2016","대청로 12","-","중개거래","제주 서귀포시","-"
"48","제주특별자치도 서귀포시 서호동","1545","1545","0000","HausD블루오션","84.9400","202508","05","48,000","205동","11","개인","개인","2015","서호남로 92-16","-","직거래","-","25.08.05"
"49","제주특별자치도 제주시 연동","280-15","0280","0015","삼무파크빌","84.2400","202508","04","29,000","-","9","개인","개인","2007","도령로 128","-","중개거래","제주 제주시","-"
"50","제주특별자치도 제주시 삼양일동","1658-3","1658","0003","삼양토성","78.3500","202508","04","18,000","-","1","개인","개인","2000","선사로6길 14","-","중개거래","제주 제주시","25.08.12"
"51","제주특별자치도 제주시 도련이동","548","0548","0000","제주삼화사랑으로부영1차","84.3616","202508","04","53,000","-","10","개인","개인","2013","화삼북로 136","-","중개거래","제주 제주시","-"
"52","제주특별자치도 제주시 도남동","923-13","0923","0013","성환","72.7300","202508","04","19,600","-","2","개인","개인","1991","신성로 91","-","중개거래","제주 제주시","-"
"53","제주특별자치도 서귀포시 서호동","1540","1540","0000","제주서귀포혁신도시엘에이치1단지","59.9800","202508","04","33,500","-","6","개인","개인","2013","서호남로 92-15","-","중개거래","제주 서귀포시","-"
"54","제주특별자치도 제주시 건입동","1226-2","1226","0002","골드트리","72.1805","202508","04","26,000","-","9","개인","개인","2020","공덕길 1","-","직거래","-","25.08.07"
"55","제주특별자치도 제주시 삼양이동","2318","2318","0000","제주삼화사랑으로부영3차","84.3616","202508","04","56,500","-","9","개인","개인","2013","화삼로 167","-","중개거래","제주 제주시","-"
"56","제주특별자치도 제주시 삼도일동","788-8","0788","0008","알뜨르빌","67.4300","202508","04","25,500","-","9","개인","개인","2015","서사로10길 4","-","중개거래","제주 제주시","-"
"57","제주특별자치도 제주시 연동","252-15","0252","0015","그랜드빌","25.2200","202508","04","6,000","-","4","개인","개인","2012","연동1길 39","-","중개거래","제주 제주시","-"
"58","제주특별자치도 제주시 노형동","732-1","0732","0001","해오름","59.5600","202508","04","49,000","103","15","개인","개인","2001","연화로 16","-","중개거래","제주 제주시","25.08.04"
"59","제주특별자치도 제주시 일도이동","113-7","0113","0007","대유대림아파트","84.9450","202508","02","42,000","-","5","개인","개인","1997","남광로 181","-","중개거래","제주 제주시","-"
"60","제주특별자치도 제주시 일도이동","113-7","0113","0007","대유대림아파트","84.9450","202508","02","42,000","-","5","개인","개인","1997","남광로 181","20250804","중개거래","제주 제주시","-"
"61","제주특별자치도 제주시 화북일동","9-1","0009","0001","화북주공2,3단지","59.9300","202508","01","28,500","화북2아파트204","1","개인","개인","1998","동화로1길 39","-","중개거래","제주 제주시","25.08.01"
"62","제주특별자치도 서귀포시 서홍동","1588-7","1588","0007","오페라하우스","49.9626","202508","01","14,500","-","6","개인","개인","2014","서홍로178번길 45","-","중개거래","제주 서귀포시","-"
"63","제주특별자치도 서귀포시 동홍동","1674","1674","0000","주공5차(동홍5차)","49.8700","202508","01","17,000","-","3","개인","개인","1999","중산간동로 8002","-","직거래","-","-"
"64","제주특별자치도 서귀포시 동홍동","2196","2196","0000","동호아트리움","84.9626","202508","01","43,000","-","7","개인","개인","2019","일주동로 8547-10","-","중개거래","제주 서귀포시","-"
"65","제주특별자치도 서귀포시 서호동","611-1","0611","0001","서호메디치","24.9538","202508","01","9,500","A동","2","개인","개인","2015","서호상로 46","-","중개거래","제주 제주시","25.08.08"
"66","제주특별자치도 제주시 이도이동","1061-4","1061","0004","영도센스빌","78.2500","202508","01","25,500","-","6","개인","개인","2003","고산동산5길 42","-","중개거래","제주 제주시","-"
"67","제주특별자치도 서귀포시 중문동","1789","1789","0000","중문푸른마을","51.8800","202508","01","18,500","-","3","개인","개인","2003","천제연로 239","-","중개거래","제주 서귀포시","-"
"68","제주특별자치도 서귀포시 성산읍 고성리","1499","1499","0000","성산청담휴클래스","77.9666","202508","01","32,000","-","5","개인","개인","2017","서성일로 1213-16","-","중개거래","제주 서귀포시","25.08.11"
"69","제주특별자치도 제주시 조천읍 조천리","2645-1","2645","0001","일이삼타운","69.3759","202507","31","21,000","-","2","개인","개인","2017","조천북2길 28","-","중개거래","제주 제주시","-"
"70","제주특별자치도 서귀포시 하원동","367-1","0367","0001","서진","49.8737","202507","31","14,800","-","4","개인","개인","2002","지세못로 29","-","중개거래","제주 서귀포시","-"
"71","제주특별자치도 제주시 노형동","1283-6","1283","0006","미듬리드빌원룸","36.5400","202507","31","11,900","-","7","개인","개인","2001","수덕5길 13","-","중개거래","제주 제주시","-"
"72","제주특별자치도 제주시 연동","1965-4","1965","0004","신광","59.8400","202507","31","15,000","-","5","개인","개인","1994","도령로7길 20","-","직거래","-","25.07.31"
"73","제주특별자치도 서귀포시 동홍동","179","0179","0000","제이원타워","17.6300","202507","31","8,000","-","7","법인","개인","2015","태평로 509","-","직거래","-","-"
"74","제주특별자치도 서귀포시 동홍동","179","0179","0000","제이원타워","15.2000","202507","31","4,530","-","4","개인","개인","2015","태평로 509","-","중개거래","제주 서귀포시","-"
"75","제주특별자치도 제주시 연동","251-16","0251","0016","제원2차","88.0400","202507","30","43,000","-","4","개인","개인","1979","신광로6길 26","-","중개거래","제주 제주시","-"
"76","제주특별자치도 제주시 조천읍 함덕리","3052-1","3052","0001","함덕해밀타운아파트","84.8200","202507","30","25,000","-","4","개인","법인","2018","신북로 460","-","중개거래","제주 제주시","25.07.30"
"77","제주특별자치도 제주시 삼양이동","2142-1","2142","0001","삼화다온펠리스","84.0874","202507","30","38,000","-","8","개인","개인","2019","지석2길 3","-","중개거래","제주 제주시","-"
"78","제주특별자치도 제주시 건입동","673","0673","0000","해한아모르빌","78.0200","202507","30","15,500","-","3","개인","개인","2003","임항로 267","-","직거래","-","25.07.31"
"79","제주특별자치도 제주시 이도이동","777","0777","0000","주공3","39.6900","202507","30","37,000","-","4","개인","개인","1989","구남로 31","-","중개거래","제주 제주시","-"
"80","제주특별자치도 제주시 도련일동","2877","2877","0000","도련블루핀아파트","84.9751","202507","30","41,500","-","2","개인","개인","2025","매촌2길 60","-","중개거래","제주 제주시","-"
"81","제주특별자치도 서귀포시 강정동","200","0200","0000","제주강정유승한내들퍼스트오션","84.9910","202507","29","49,200","-","3","개인","개인","2017","대청로 34","-","중개거래","제주 서귀포시","-"
"82","제주특별자치도 서귀포시 강정동","200","0200","0000","제주강정유승한내들퍼스트오션","84.9910","202507","28","48,000","-","2","개인","개인","2017","대청로 34","-","중개거래","제주 서귀포시","-"
"83","제주특별자치도 서귀포시 중문동","2365","2365","0000","상지타운(B동)","84.4100","202507","28","26,700","-","2","개인","개인","2013","천제연로178번길 37","-","중개거래","제주 서귀포시","-"
"84","제주특별자치도 제주시 연동","252-15","0252","0015","그랜드빌","20.5800","202507","28","6,000","-","8","개인","개인","2012","연동1길 39","-","중개거래","제주 제주시","-"
"85","제주특별자치도 제주시 이도이동","324-21","0324","0021","동인미노스빌","166.6100","202507","27","38,500","-","1","개인","개인","2002","가령골길 47","-","중개거래","제주 제주시","-"
"86","제주특별자치도 서귀포시 서홍동","2004-1","2004","0001","서홍반석타운","35.9400","202507","26","9,000","가","4","개인","개인","2000","현청로 41-14","-","중개거래","제주 서귀포시","25.08.14"
"87","제주특별자치도 제주시 애월읍 하귀1리","167","0167","0000","제주하귀휴먼시아1단지","84.9700","202507","26","40,200","-","2","개인","개인","2010","하귀9길 45","-","중개거래","제주 제주시","-"
"88","제주특별자치도 제주시 아라일동","6088","6088","0000","아라스위첸","84.9767","202507","26","70,500","-","2","개인","개인","2012","아란9길 22","-","중개거래","제주 제주시","-"
"89","제주특별자치도 제주시 오라이동","1373-1","1373","0001","회성푸르니3차","84.8830","202507","26","39,500","-","7","개인","개인","2013","연사길 60","-","중개거래","제주 제주시","-"
"90","제주특별자치도 제주시 노형동","2585-2","2585","0002","노형이-편한세상","110.6300","202507","26","88,500","-","10","개인","법인","2005","수덕로 78","-","중개거래","제주 제주시","-"
"91","제주특별자치도 서귀포시 호근동","2161","2161","0000","호근동코아루오션뷰","84.8239","202507","25","29,000","-","2","개인","개인","2017","호근북로 10","-","중개거래","제주 서귀포시","-"
"92","제주특별자치도 제주시 애월읍 하귀1리","167","0167","0000","제주하귀휴먼시아1단지","84.8400","202507","25","45,200","-","9","개인","개인","2010","하귀9길 45","-","중개거래","제주 제주시","-"
"93","제주특별자치도 서귀포시 강정동","200","0200","0000","제주강정유승한내들퍼스트오션","84.9921","202507","25","48,000","-","7","개인","개인","2017","대청로 34","-","중개거래","제주 서귀포시","-"
"94","제주특별자치도 제주시 오라이동","1365","1365","0000","헤르지아","83.2800","202507","25","42,000","-","4","개인","개인","2015","연사3길 9","-","중개거래","제주 제주시","-"
"95","제주특별자치도 서귀포시 동홍동","1674","1674","0000","주공5차(동홍5차)","49.8700","202507","25","17,500","-","4","개인","개인","1999","중산간동로 8002","-","중개거래","제주 서귀포시","-"
"96","제주특별자치도 제주시 삼도이동","602-1","0602","0001","아이린5차","84.7200","202507","25","41,200","-","10","개인","개인","2018","전농로9길 27","-","중개거래","제주 제주시","-"
"97","제주특별자치도 제주시 연동","276-11","0276","0011","연동하늘그린","84.9400","202507","25","40,500","-","2","개인","개인","2012","신광로 105","-","직거래","-","-"
"98","제주특별자치도 제주시 연동","1951-5","1951","0005","정한맨션(C동)","69.6700","202507","25","13,500","-","2","개인","개인","1992","남녕로8길 7","-","직거래","-","-"
"99","제주특별자치도 제주시 외도일동","560-2","0560","0002","부영(2차)","84.9873","202507","25","40,000","-","11","개인","개인","2001","우평로 318","-","중개거래","제주 제주시","-"
"100","제주특별자치도 제주시 외도일동","560-2","0560","0002","부영(2차)","84.9873","202507","25","40,000","-","11","개인","개인","2001","우평로 318","20250729","중개거래","제주 제주시","-"
"101","제주특별자치도 제주시 연동","2325-6","2325","0006","타워프로빌","138.1400","202507","24","53,600","-","15","개인","개인","2010","도령로 95","-","중개거래","제주 제주시","25.08.08"
"102","제주특별자치도 제주시 도련일동","1911","1911","0000","제주삼화사랑으로부영6차","84.3616","202507","23","57,000","603","4","법인","개인","2013","화삼로 107","-","중개거래","제주 제주시","25.07.25"
"103","제주특별자치도 서귀포시 동홍동","1369","1369","0000","동홍동센트레빌","84.9757","202507","23","45,800","-","6","개인","개인","2021","중앙로182번길 40","-","중개거래","제주 서귀포시","-"
"104","제주특별자치도 제주시 이도이동","777","0777","0000","주공2차","39.7200","202507","23","36,800","-","4","개인","개인","1988","구남로 43","-","중개거래","제주 제주시","-"
"105","제주특별자치도 서귀포시 대정읍 상모리","4148-1","4148","0001","한빛테크","58.9440","202507","22","9,800","-","3","개인","개인","2000","비행장로55번길 16","-","직거래","-","25.08.08"
"106","제주특별자치도 제주시 도련일동","1911","1911","0000","제주삼화사랑으로부영6차","84.3616","202507","22","52,800","-","5","개인","개인","2013","화삼로 107","-","중개거래","제주 제주시","-"
"107","제주특별자치도 제주시 삼양이동","2143-3","2143","0003","트리폴리움","84.4580","202507","22","40,500","-","8","개인","개인","2024","일주동로 330","20250724","중개거래","제주 제주시","-"
"108","제주특별자치도 제주시 삼양이동","2143-3","2143","0003","트리폴리움","84.4580","202507","22","40,500","-","8","개인","개인","2024","일주동로 330","-","중개거래","제주 제주시","-"
"109","제주특별자치도 제주시 연동","2325-6","2325","0006","타워프로빌","141.6600","202507","22","52,500","-","5","개인","개인","2010","도령로 95","-","중개거래","제주 제주시","-"
"110","제주특별자치도 제주시 연동","276-11","0276","0011","연동하늘그린","84.8600","202507","22","41,000","-","8","개인","개인","2012","신광로 105","-","중개거래","제주 제주시","-"
"111","제주특별자치도 제주시 연동","276-3","0276","0003","청목더웰연동","17.6127","202507","21","8,400","-","5","개인","개인","2018","연동8길 28","-","중개거래","제주 제주시","-"
"112","제주특별자치도 제주시 연동","276-3","0276","0003","청목더웰연동","17.6127","202507","21","8,400","-","5","개인","개인","2018","연동8길 28","20250730","중개거래","제주 제주시","-"
"113","제주특별자치도 제주시 도남동","913-1","0913","0001","송화","101.1500","202507","21","23,600","-","2","개인","개인","2001","서사로23길 52","-","직거래","-","-"
"114","제주특별자치도 제주시 노형동","754","0754","0000","부영5차","84.9508","202507","21","62,000","-","7","개인","개인","2001","과원북2길 12","-","중개거래","제주 제주시","-"
"115","제주특별자치도 제주시 용담이동","619","0619","0000","용두암현대3","84.7500","202507","21","22,000","2동","1","개인","개인","1992","성화로6길 46","-","직거래","-","25.08.07"
"116","제주특별자치도 제주시 노형동","732-1","0732","0001","해오름","59.5600","202507","21","49,000","-","8","개인","개인","2001","연화로 16","-","중개거래","제주 제주시","-"
"117","제주특별자치도 제주시 노형동","1282-2","1282","0002","노형삼다","60.0000","202507","21","20,500","-","6","개인","개인","1995","수덕3길 7","-","중개거래","제주 제주시","-"
"118","제주특별자치도 제주시 외도일동","529-1","0529","0001","해밀마루","46.5900","202507","19","22,000","-","11","개인","개인","2019","우정로15길 48","-","중개거래","제주 제주시","-"
"119","제주특별자치도 제주시 연동","2303-12","2303","0012","제일(나동)","73.7800","202507","19","14,950","-","2","개인","개인","1991","도령북길 7","-","중개거래","제주 제주시","-"
"120","제주특별자치도 제주시 노형동","2583-1","2583","0001","노형뜨란채","84.0900","202507","19","54,500","-","1","개인","개인","2006","수덕로 44","-","중개거래","제주 제주시","-"
"121","제주특별자치도 서귀포시 동홍동","179","0179","0000","제이원타워","15.2000","202507","18","5,800","-","9","개인","개인","2015","태평로 509","-","중개거래","제주 서귀포시","-"
"122","제주특별자치도 서귀포시 강정동","195","0195","0000","서귀포강정지구3블럭중흥에스-클래스","84.9297","202507","18","51,000","-","6","개인","개인","2016","대청로 12","-","중개거래","제주 서귀포시","-"
"123","제주특별자치도 서귀포시 중문동","1726","1726","0000","e편한세상중문","79.0040","202507","18","39,700","-","5","개인","개인","2021","일주서로731번길 10","-","중개거래","제주 서귀포시","-"
"124","제주특별자치도 서귀포시 남원읍 남원리","1323-2","1323","0002","남원에덴아파트","40.0000","202507","18","8,000","남원에덴아파트 101","4","개인","개인","1996","남원광지로 5","-","중개거래","제주 서귀포시","25.07.29"
"125","제주특별자치도 서귀포시 동홍동","147","0147","0000","주공1","39.6900","202507","18","13,500","-","3","개인","개인","1988","동홍중앙로 10","20250811","직거래","-","-"
"126","제주특별자치도 서귀포시 동홍동","147","0147","0000","주공1","39.6900","202507","18","13,500","-","3","개인","개인","1988","동홍중앙로 10","-","중개거래","제주 서귀포시","-"
"127","제주특별자치도 제주시 외도일동","560-2","0560","0002","부영(2차)","84.9873","202507","18","41,900","-","11","개인","개인","2001","우평로 318","-","중개거래","제주 제주시","-"
"128","제주특별자치도 제주시 일도이동","378-7","0378","0007","청풍아트빌","33.7800","202507","18","9,500","-","4","개인","개인","2004","고마로 94","-","중개거래","제주 제주시","-"
"129","제주특별자치도 제주시 도남동","78","0078","0000","영산홍","59.9400","202507","18","19,000","가","3","개인","개인","1992","도남로17길 32","-","직거래","-","25.08.04"
"130","제주특별자치도 제주시 화북일동","1933-3","1933","0003","동아","74.0500","202507","18","11,000","-","1","개인","개인","1990","진남로4길 30-3","-","중개거래","제주 제주시","25.07.29"
"131","제주특별자치도 서귀포시 동홍동","1369","1369","0000","동홍동센트레빌","84.9196","202507","17","46,650","-","5","개인","개인","2021","중앙로182번길 40","-","중개거래","제주 서귀포시","-"
"132","제주특별자치도 제주시 연동","280-15","0280","0015","삼무파크빌","84.2400","202507","17","25,000","-","9","개인","개인","2007","도령로 128","-","직거래","-","25.07.24"
"133","제주특별자치도 제주시 이도이동","1956","1956","0000","이도한일베라체","84.5000","202507","17","66,000","-","5","개인","개인","2011","신설로 55","-","중개거래","제주 제주시","-"
"134","제주특별자치도 제주시 조천읍 함덕리","4168","4168","0000","광명샤인빌","59.2517","202507","17","22,700","-","5","개인","개인","2006","함덕30길 27","-","중개거래","제주 제주시","-"
"135","제주특별자치도 서귀포시 동홍동","1557-1","1557","0001","센트럴팰리스","28.6800","202507","17","12,500","-","6","개인","개인","2018","중앙로 172","-","중개거래","제주 서귀포시","25.08.08"
"136","제주특별자치도 제주시 연동","1952-4","1952","0004","동남","67.3200","202507","17","20,400","101","5","개인","개인","1991","남녕로 46","-","직거래","-","25.07.18"
"137","제주특별자치도 제주시 연동","273-43","0273","0043","제주연동리슈빌디에스","27.2323","202507","17","12,300","-","7","개인","개인","2018","노연로 103","-","직거래","-","-"
"138","제주특별자치도 제주시 일도이동","113-1","0113","0001","일도수선화","49.0600","202507","17","21,000","-","3","개인","개인","1993","연삼로 560-1","-","중개거래","제주 제주시","-"
"139","제주특별자치도 제주시 아라일동","6142-13","6142","0013","염광","46.3200","202507","16","19,800","8","3","개인","개인","1990","인다15길 5-6","-","중개거래","제주 제주시","25.08.13"
"140","제주특별자치도 제주시 노형동","754-4","0754","0004","부영2차","45.9078","202507","16","31,000","-","1","개인","개인","2001","과원로 11","-","중개거래","제주 제주시","-"
"141","제주특별자치도 서귀포시 대정읍 하모리","1221-1","1221","0001","더그라벨아파트","56.7500","202507","16","18,000","-","4","개인","개인","2019","신영로 5","-","직거래","-","25.08.14"
